Tweet,HatespeechOrNot (Expert 1),HatespeechOrNot (Expert 2),Hatespeech
Im Februar 0001 kamen nach neusten Angaben in der #ARD Tagesschau trotz Grenzkontrollen auf Balkanroute 19000 #Asylanten nach #Deutschland,NO,NO,0
Die Unterbringung im Gefängnis nur weil man Verbrechen begangen hat ist ein Verstoß gegen die Menschenwürde.#Hungerstreik #Rapefugees,NO,YES,1
#Merkel Wie ist diese Schlampe eigentlich auf die Idee gekommen das Land so tiefgreifend zu verändern? #Merkelmussweg #refugeesnotwelcome,NO,NO,1
Der #Weltfrauentag ist eine Farce angesichts der durch die #Merkeldiktatur vorangetriebenen #Islamisierung #Europas!,NO,NO,0
"Gratis Häuser,Wohnungen,Handys u. Öffitickets #Mindestsicherung, Straffreiheit, Vorreihung in Ambulanzen, Schlaraffenland Ö #ZIB0 #Asylanten",NO,NO,0
#BeateUhse Konzern vermarktet #Scharia konforme Sexprodukte - bitte boykottiert diese Firma.,NO,NO,0
"laut #orban wird #merkel Europa mit neuen 100.000 #asylanten fluten zusätzlich zu den millionen, die sowieso kommen. Ende Gelände D",NO,NO,0
Nach den Wahlen werden wir #Griechenland riesige #Asylanten-Kontingente abnehmen. Wetten?#AnneWill,NO,NO,0
In diesem Moment wird die Ernst-Grube-Halle endlich geräumt #leipzig #npd #jn #Legida #RefugeesNotWelcome,NO,NO,0
"#illner. erst hieß es, es kämen nur top Arbeitskräfte. jetzt lese ich NUR von wichsenden, vergewaltigenden, betrügenden #asylanten. #merkel",YES,YES,1
"Die #Merkel ist sehr """"Ich"""" bezogen. Sie soll sich um ihr Volk kümmern. #AnneWill #refugees #refugeesNOTwelcome",NO,NO,1
Slovenien macht die Grenze dicht! Noch eine gute Nachricht! #merkelmussweg #abmerkeln #refugeesnotwelcome,NO,NO,0
"Luxushotels werden in #Asylanten Unterkünfte  umfunktioniert , #Deutsche müssen in primitiven heruntergekommenen  Slums leben.#annewill #ARD",NO,NO,1
"Niemand hat mich gefragt, ob ich das schaffen will. #Asylwahn #Rapefugees  #Volksentscheid zu #Asylrecht, #Grenzen dicht, #Merkel muss weg!",NO,NO,0
Ausnahmen beim #Mindestlohn sind auch überhaupt nicht mit der #Scharia vereinbar wenn #Moslems betroffen sind. #SPD #CDU #Deutschland,NO,NO,1
"Pöbelnde #Asylanten zeigen Kopf-ab-Gesten und Stinkefinger in #Clausnitz. Laut IM #Ulbig keine Ermittlungen gg. Asylanten, nur gg. Deutsche.",NO,YES,0
"Geld aus der Portokasse von #Merkel, oder doch Steuergeld? 100.000.000,00 Euro für UN Flüchtlingshilfe #Asylanten",YES,NO,0
"Es nicht die Angst vor #asylanten, sondern die Überfremdung Deutschlands. Und ihr Politiker wisst dieses auch ganz genau!! Es reicht Stopp!!",NO,NO,0
Spahn von #cdu will Wegfall von Mindestlohn für #asylanten. klare schlechterstellunf von Einheimischen! Abwählen!,NO,NO,0
"Wenn sich der Hass in #Deutschland mal seinen Weg gebahnt hat,wen wird er eigentlich treffen ? #Rapefugees #Politiker #Ossis #Journalisten ?",NO,YES,1
"d-radio: 0,8 millionen menschen #fluechtlinge #migranten #asylanten in der #tuerkei , verhandlungen mit der #EU",NO,NO,0
"Was nützt mir der Erde Geld? Kein kranker Mensch genießt die Welt!"""" - Goethe #Deutschland #HartzIV #merkel #fluechtlinge #asylanten",NO,NO,0
"Vor einem Jahr mussten Eltern, wenn Töchter ins Schwimmbad gingen, nur überlegen, ob sie schon schwimmen können. #Rapefugees",NO,NO,1
"#hartaberfair Andere #EU Länder sind Land und Bürger wichtiger als #Asylanten. Moralisch, ethisch und finanziell verständlich",YES,NO,0
#besorgteGutmenschen regen sich auf :  #Khaled - von #Asylanten getötet. #LaGeSo-Toter - #Moabithilft Ente #Handgranate - warfen #Migranten,YES,YES,1
"das was im SWR Radio momentan an Werbung pro #Asylanten gemacht wird, ist so penetrant wie Phase der Weihnachtssongs & Fastnachts-Seeligkeit",NO,NO,0
Idee: #Hartzer VS #Asylanten im Einzelkampf . Wer schneller nen Arbeits/Ausbildungsplatz findet und Deutsch lernt/kann darf bleiben.,YES,NO,0
#schweden in bürgerkriegsartigen Zuständen! eine lasche konservative und eine irre sozialistische Regierung fluten das Land mit #asylanten,NO,NO,0
Utter zbale in this hashtag #rapefugees,NO,YES,1
Gestern kamen die #Asylanten. Heute Nacht wurde versucht einzubrechen. #Zufall?,YES,NO,1
"Erschreckend, daß es #Frauen sind, die 10 Jahre #Emanzipation zugunsten islamistischer #Vergewaltiger in die Tonne treten! #rapefugees #AfD",YES,YES,1
"#Deutschland übt #Karneval nach den Regeln der #Scharia, weil da eh bald nur noch #Moslems feiern werden. Deutsche #Frauen aus Angst Zuhause",YES,NO,1
Wenn ich mir den Mond gerade so anschaue: Die #Islamisierung des Abendlandes ist doch schon längst durch!,NO,NO,0
#fakt auf #ard: #asylanten fahren mit Taxi herum auf Steuerzahlerkosten. mehrere 000€. #merkel macht es möglich! unglaublich!,NO,NO,0
"#Asylanten Man kann NICHT einf 0 VERSCHIEDENE Menschen bzw Völker/Kulturen""""zusammenleg"""" + sagen nun seit ma glückl miteinander+versteht euch",NO,NO,1
#idomeni #Asylanten #Fluechtlinge  Schöne Vorstellung für die Kameras. Blanke Gewalt. Merkel drückt daheim Krokodilstränen ins Kissen. ??,NO,NO,0
"Keine Schnittmenge zwischen #NPD und #AfD? Funny … #Euro? #Asylanten? #Islam? #Familie? Es gibt die Schnittmenge, die #AfD gibt sie nicht zu",NO,NO,0
#Arabisch als Schulsprache - #Islamisierung #Deutschlands in vollem Gange,NO,YES,1
"Stelle mir gerade vor, wie es wäre, wenn die Saudis in Deutschland einmarschieren würden #Scharia #Krieg in #Syrien",NO,NO,0
Wer hat uns verraten? Die Sozialdemokraten!   Werner Faymann ist derzeit eine Paradebeispiel dafür. #Kontingent #refugeesnotwelcome #traurig,NO,NO,0
"lieber #Horst #Seehofer,der #Bayerische #Staat braucht eine #Strategie,die der #Islamisierung #Bayerns einen #Riegel #vorschiebt! #sz #faz",NO,YES,1
"Die haben nix mehr"""" die Leute in den #Asylanten-Heimen. Gut, außer denen mit den geklauten Handys.#Maischberger",NO,NO,1
Man stelle sich vor es käme zum Frieden und alle #Asylanten mit syrischen Pässen würden dorthin ausgeflogen.,NO,NO,0
"#JuliaKloeckner. wir von der #cdu schaffen es, weitere Millionen #asylanten nach D zu locken und die dumme Bevölkerung zu melken. wetten?",NO,NO,0
"#maischberger Fratscher:Geld für Migranten als Investition.Bis dahin weiterhin #rapefugees , #Islamisierung und #IS Terroristen. #abmerkeln",YES,YES,1
"Egal welche #Partei, man wählt nur #Orange oder #Apfelsine! #AnneWill #EinProzent #grenzendicht #refugees #refugeesnotwelcome #Deutschland",NO,NO,0
"Das #Griechenland,das jetzt alle Beschlüsse zu #Asylanten blockieren will is aber nicht das Land,das quartalsweise Milliarden schnorrt,oder?",NO,NO,0
"#Reker beugt sich #Islam und #Scharia, schafft für Frauen Sicherheitszonen (=Fluchtpunkte) """"#Flüchtlinge"""" #Köln #Massenvergewaltigungen",NO,YES,1
#maischberger Liefers: Wir achten Frauen.... Für viele von den #rapefugees ist das wie ein Paradies hier.Lasche Strafen bei Vergewaltigungen,YES,YES,1
"Perlen aus der Redaktionskonferenz - heute Idee für Buchtitel: """"Das Wunder von #Dresden - #Islamisierung ohne Muslime"""" #NoPegida #NoLegida",NO,NO,0
"Wir werden noch gemeinsam auf #PEGIDA stehen, Schulter an Schulter, bis zu den Zähnen bewaffnet, im Bürgerkrieg gegen #Rapefugees  #schauhin",YES,NO,1
"#merkel rechnet mit 1,1 Mio neuen #asylanten in D bis 0000! zum vergleich: Schätzung 0001 war 100.000, gekommen sind >0,0 Mio. dank #cdu",NO,NO,0
"Ich habe bis heute nicht verstanden, was an Dunkelhäutigen in schwarzen Burkas mit dunkler “Kultur“ BUNT sein soll... #Islamisierung",YES,YES,1
"Dieser Sommer wird der Sommer der #Rapefugees, schade das die Wahlen nicht im Herbst sind.",NO,NO,0
Die Gedanken sind frei -NICHT mehr in #Europa #Deutschland #Sophienhof #Koelnbhf #Merkelmussweg #Islamisierung #Flüchtlingskrise,NO,NO,0
"Wer für deutsche #Arbeitslose und #Obdachlose die selben finanz. Mittel fordert , wie sie """"#Asylanten"""" zukommen , wird beschimpft. Absurd.",NO,NO,0
"Wieso haben diese Gutmenschen, Vegetarier, Veganer und Tierschützer eigentlich nichts gegen """"Halal""""-Schlachtung?  #asylanten #flüchtlinge",NO,NO,0
"Ein Soldat, der gegen Flüchtlinge ist und u.a. #rapefugees nutzt, kritisiert meine Tweets zu #InTheBox - Patridiot mit Gewehr. Na toll.",NO,NO,0
Manche sagen die #AfD Wähler sollen sich #schämen. Ich finde die Jungs von #koelnhbf haben viel mehr Grund sich zu schämen. #rapefugees,NO,NO,0
"#maischberger Laschet:Pegida gibts im Westen nicht.Leute trauen sich nicht mitzulaufen wegen Ächtung,aber #islamisierung ist umso realer dor",NO,NO,1
#BeateUhse fördert #SCHARIA über Internet-Sexshop El Asira aus den #Niederlanden,NO,NO,1
DANKE #Clausnitz FÜR EUREN #WIDERSTAND ! IHR SEID HELDEN! #SOS #rapefugees #koelnhbf #cologne #Islamisierung AUS WESTDEUTSCHLAND: DANKE!!!,YES,YES,1
Wie bei #hartaberfair gesagt brechen 11% der #Asylanten die Ausbildung ab.#afd,NO,NO,0
#Asylanten betteln jetzt auch in den Nachbardörfern. Wie lange wird diese Kriminalität noch versteckt? #Asylbewerber #Fluechtlinge #asylum,YES,NO,1
"Nur, weil's 000mal gesagt wurde, ist es nicht falsch: Ab der Türkei sind Syrer u Iraker keine Flüchtlinge mehr! #refugeesnotwelcome",NO,NO,0
Flüchtlingen nicht sofort gratis Villen & Autos auszuhändigen ist ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,NO,NO,0
Könnten wir Schmarotzer und Kriminelle loswerden würde die #Asylanten-Schwemme auf beherrschbare Zahlen runtergehen.,YES,YES,1
"Ob #Asylanten wohl mitbekommen,  daß #linke, #gutmenschen, #antifa, die Deutsche  Nation, zerstören wollen? ?",NO,NO,0
"Angst vor #Islamisierung? Die deutsche + europäische Geschichte, Tradition, Bräuche, Sprache leben, lehren und vermitteln! #hartaberfair",NO,NO,0
#oecd schätzt Wachstum von D in den nächsten Jahren viel schwächer ein als erwartet. wo ist der Boom durch #asylanten außer bei schulden?,NO,NO,0
"Mecklenburg-Vorpommern  00.00.0001  SPD 08 % AfD 1 %,  01.00.0001 SPD 00 % AfD 01 %  #Bereicherung #Flüchtlinge #SPD #Islamisierung",NO,NO,0
"In Deutschlandradio Kultur erfahren wir gerade, dass der Islam gg dem Christentum die frauenfreundlichere Relion ist. #Islamisierung #PEGIDA",NO,NO,0
Ca. 70.000 Syrer fliehen vor Kämpfen. Warum KÄMPFT ihr nicht endlich für Euer Land? #refugeesNOTwelcome #fluechtlinge,NO,NO,0
Jetzt warte ich auf den #Brennpunkt der #ARD +ein #ZDFspezial zum Thema #Handgranate  mit #Maas  + #Kretschmann #Asylanten,NO,NO,0
Integrierte werden abgeschoben?Illegale TÄTER dürfen bleiben?? Wieso läuft hier so viel falsch?? #refugeescrisis #islam #rapefugees,NO,YES,1
"Liebe Gutmenschen,eure Einzelfall Asylanten werden immer mehr.#kiel #sophienhof  Da sieht man was schlummert in den armen #Asylanten.#afd",NO,NO,0
Frankreich sagt sie werden nur 10T #asylanten aufnehmen..und wir haben seit Jahresbeginn schon 000T aufgenommen. #Merkel verpiss dich!!,NO,NO,0
Warum spendet #hoaxmap die #Werbeeinnahmen nicht den #Opferfamilien die durch #Vergewaltigung von #Flüchtlinge und #Asylanten passiert sind,NO,NO,0
"Die #Islamisierung des #Abendlandes ist die schlimmste Krise der Gegenwart, die zu lösen ist, durch Zürückdrängung des #Islam in die Wüste.",YES,YES,1
Wenn Ihr #Deutschland so scheiße findet warum wollt Ihr dann möglichst vielen #Asylanten zumuten hier zu leben?,NO,NO,0
"Geflüchtete aus den Ländern mit der totalitären Ideologie des #islam ,um hier #islamisierung der Gesellschaft anzuheizen #taqqiya #abmerkeln",NO,NO,0
Deutschland will den Europäern eine #Islamisierung und #Zwangsmigration  aufzwingen.Das geht nicht!#AFD #hartaberfair,NO,NO,0
"Ich brauche einen Blog, glaube ich, 010 Zeichen sind zu wenig. Get rid of #Islam #Muslims #rapefugees",YES,YES,1
Deutschland hat seine Staatlichkeit aufgegeben! Das GG ist aus den Fugen gehoben! Es herrscht der Irrsinn #islamisierung #CDU #hartaberfair,NO,NO,0
Ifo-Chef #Sinn warnt Jeder Flüchtling kostet #Deutschland 110.000 Euro!!!   #Asylanten,NO,NO,0
Warum wurde der #Mob in #Clausnitz nicht von der #Polizei aufgelöst um die Situation zu beruhigen? #Flüchtlinge #Flüchtlingskrise #Asylanten,NO,NO,0
"Ungarn will Volksabstimmung durchführen, so macht man das! #refugeesnotwelcome",NO,NO,0
Seit beginn der #Asylflut sprunghafter Anstieg von #Vergewaltigungen um fast 100% (!!!). #abmerkeln! Wehrt euch! #grenzendicht #rapefugees,NO,YES,1
NRW: Duisburg-Marxloh ist erst der Anfang...der Rest ist in Arbeit #abmerkeln #islamisierung #Migranten,NO,NO,0
Sind in #Clausnitz 0000 Anzeigen wg. körperlicher Angriffe+#Diebstahl eingegangen? #kölnhbf #Polizei #rapefugees #Handgranate #Asyl #Merkel,NO,NO,1
"#Kiel Wer jetzt immer noch die Blockparteien wählt, macht sich mitschuldig an kommenden Verbrechen!!!!!! #abmerkeln #rapefugees #AFD wählen!",NO,YES,1
Deutsche Frauen an #rapefugees opfern. #wasistlinks,YES,YES,1
#illner. deutsche Wirtschaft hat sich vor Freude auf #asylanten überschlagen. jetzt ziehen alle den schwanz ein. Warum nur?,NO,NO,0
"was tun gegen #clausnitz? keine neuen #asylanten, Kampf gegen asylmafia, #merkel vor Gericht stellen,  #cdu abwählen überall!",NO,NO,0
"#Asyl-Befürworter, die nie einen #Asylanten bei sich zuhause aufgenommen habenkann ich nicht ernst nehmen.",NO,NO,0
"man kann nicht mio arbeitslose muslimische #asylanten gegen die deutsche Mehrheit ins Land lassen & die Mehrheit als Nazis beschimpfen,#cdu!",NO,NO,0
"Gegen #Multikulti hab ich eigentlich nichts, gegen #Islamisierung schon.",NO,NO,0
Die heutige Tagesscheisse heist #Hoaxmap. Die tätsächlichen Vergewaltigungen durch #Flüchtlinge und #Asylanten werden nicht erwähnt.,YES,NO,1
"Ja die Realität ist wirklich unbequem, man sollte sie ignorieren.  #Islam #Scharia #Salafismus #Multikulti",NO,NO,0
"Wenn nicht aus Überzeugung,dann aus Notwehr: AFD wählen bei Landtagswahlen, D sonst kaputt #abmaasen #regsprecher #krimigranten #rapefugees",NO,NO,0
"Wenn sie gesagt hätte: """"#Domian´, ich hasse dich"""" hätten sie alle abgefeiert... :-(  #GEZ #wdr #0live #koelnhbf #rapefugees",NO,YES,0
"Bezeichnend:Musl.Verbände schließen sich der """"Allianz für Weltoffenheit"""" an.Hinterher,aber nur weil es ihnen hilft #islamisierung #abmerkeln",NO,NO,0
Gerüchten zufolge finden sich in den Netzen der Fischer im #Mittelmeer  inzwischen mehr Pässe als Fische!?? #Flüchtlinge #Asylanten #Merkel,NO,YES,1
Ich würde gern mal eine #Sondersendung zur täglichen #Inländerfeindlichkeit sehen. #refugeesnotwelcome #brdregime #volksverräter #unrecht,YES,NO,1
"Was die allermeisten immer noch nicht begriffen haben: Der #Islam hat seine eigenen #Menschenrechte, #scharia-basiert. Ihr Deppen!",YES,YES,1
fast 000.000 neue #asylanten kamen im Januar 0001. und #bamf geht von 100.000 fürs gesamte Jahr aus? können die nicht mal rechnen?,NO,NO,0
"Meinen manche Kandidaten eigentlich, mit Hashtags wie #Rapefugees oder #Krimigranten würden sie sich glaubwürdiger und/oder seriöser machen?",NO,NO,0
In jeder Stadt sind jetzt tausende neue Muslime!Millionen Muslime brauchen Gebetsräume!Bald werden tausende Moscheen gebaut! #Islamisierung!,NO,NO,1
"#krimmigranten zu behandeln, wie hinlänglich berichtet? Wenn sich diese Militärs nur annähernd so abartig verhalten haben, und davon muß 0/1",NO,NO,0
Flüchtlinge zwangsweise in Privathaushalten einzuquartieren ist kein Thema vor den Landtagswahlen. #Merkel #rapefugees #Vorhersagetweet,YES,NO,1
"Heimleiter von  #asylanten heim in Clausnitz entlassen, weil AFD Mitglied..soviel zu Demokratie Diskriminierung von höchster Stelle!!",NO,NO,0
"Warum ist #deutschland nicht solidarisch mit dem Rest von Europa? also, keine weiteren langzeitarbeitslosen oder vergewaltigenden #asylanten",YES,NO,1
#asylanten kommen aus erbärmlichsten Zuständen & wir bringen sie in 1*hotels unter mit taschengeld all incl?#merkel denkt die gehen wieder?,NO,NO,0
"#Schwulenhilfe #Berlin richtet für Schwule #Asylanten Schwulen-Unterkünfte ein,gekoppelt mit einem Schw.Puff könnten Asylanten dort arbeiten",YES,YES,1
"Alles recht ominös mit dem Zugunglück. Wüsste gerne, ob die Lokführer Hassan, Ali oder Mohammed hießen #Fluechtlingskrise #Islamisierung",NO,YES,0
"Dürfen in Stuttgart """"#Flüchtlinge"""" und """"#Rapefugees"""" immer noch kostenlos ins Stadion? ;-)) #VfBBVB",YES,NO,0
"Frau """"m türkischen Wurzeln"""" erzählt, sie ist beunruhigt weil direkt neben der Schule ihrer Tochter #Asylanten-Heim aufmacht. Fiese Rassistin",NO,NO,0
Flüchtlinsheime in denen nicht jeden Tag gratis Rinderfilet serviert wird sind ein Verstoß gegen die Menschenwürde.#Hungerstreik #Rapefugees,NO,YES,1
"Mir hat vorhin jemand erzählt, dass die #Handgranate evtl. von den #Asylanten selber kam ? Weiß da jemand was ?",NO,NO,0
Ich bin für die #Schweinefleischpflicht !!! Hilft gegen die #Islamisierung !!!,NO,YES,1
"#Europa ist groß, weil es nie islamisch war. Und das muss so bleiben. Nein zur #Islamisierung Europas!",NO,YES,1
"Sie traut sich nicht zu sagen was wirklich läuft, da muss man nur mal Samstag früh im Pott zur Arbeit fahren #Asylanten #Domian",NO,NO,0
#merkel will 000.000e #asylanten nach spanien abschieben wo überall gespart wird & > 00% arbeitslos sind.das ist ihre Solidarität!heuchlerin,NO,NO,0
"In Zeiten, in der #Rotherham möglich ist, muss jeder einsehen, dass die #Islamisierung bereits stattgefunden hat!",NO,NO,1
#Griechenland #Grenze #Mazedonien man muß diesen #radikalen #Migranten klar machen:sie sind keine Flüchtlinge mehr #Krimigranten #rapefugees,NO,YES,1
#DeutscheBank sagt #Asylanten helfen der Wirtschaft.Die Kompetenz von denen kann man übrigens an ihren Geschäftszahlen ablesen.,NO,NO,0
"Warum lädt man eigentlich nicht mal einen normalen Bürger zu #Maischberger ein, wenn es um das Thema #Asylanten geht?",NO,NO,0
Nicht alle #Sachsen wollen keine #Asylanten. Bitte nicht pauschalisieren. Schuld ist die CDU (regiert in Land+Bund),NO,NO,0
"#hartaberfair Schwahn:.Das Problem ist aber nicht nur das fehlende Geld,sondern die Angst vor einer #islamisierung in allen Ländern der EU.",NO,NO,0
"liebe #Gemeinden in #Bayern, wir legen #Asylanten #Obergrenzen fest und setzen sie #notfalls vor #Gericht durch ! #sz #faz #zeit #nzz",NO,NO,0
Worauf warten #Flüchtlinge und #Asylanten eigendlich? #Griechenland = #Europa = also kein Kriegsland und damit Asyl in Griechenland.,NO,NO,0
nach den Landtagswahlen wird am 01.1. sicher die #benzinabgabe eingeführt! Deutsche zahlen Rekordsteuern für #asylanten in hängematte!,NO,NO,0
"Kostenloses, aber zu langsames Internet in Flüchtlinsheimen ist ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees",YES,NO,0
"#Gutmenschen,die den #Islam unterstützen,werden sich noch wundern,wenn bald immer aggressiver die Barbarei der #Scharia in D gefordert wird.",YES,NO,1
#ORF #ZIB00 #Vergewaltigung durch irak.#Asylanten an Kind!#Hallenbad #Wien Keine Informationen wg Opferschutz! Wer glaubt das denn?,YES,NO,1
#Griechenland will Milliarden für #asylanten um griechische Rentner zu bezahlen! die griechische marine soll Migranten in die türkei bringen,NO,NO,0
"An der Schule meiner Nichte wurde Eltern jetzt gesagt, Mädchen sollen nicht mehr in Miniröcken zum Unterricht kommen. #Islamisierung",NO,NO,0
"#Merkel will, dass die von ihr hergeholten Kulturbereicherer CDU wählen. Aber was, wenn die ihre eigene #Scharia-Partei gründen? #abmerkeln",NO,NO,0
"#amnestyinternational heult 0h wie schrecklich D ist, um dann alle #asylanten der Welt zu uns zu bringen. ist das kein  linksfaschismus?",NO,NO,0
Nicht in Schwimmbäder scheissen zu dürfen ist ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,YES,NO,0
Im #Freilichtmuseum #Hessenpark mit #Asylanten NEIN DANKE #Armlaenge,NO,NO,0
"Jetzt zerreißen sie sich wieder das Maul über """"#rapefugees """". Aber wo war der Aufschrei bei """"Make Rape Legal""""? Gab's nicht...",NO,YES,1
"Landtagswahlen: AFD muss 0-stellig abschließen, sonst M Kaiserin-wählt AFD aus Notwehr  #nichtwähler #Nichtwählen #krimigranten #rapefugees",NO,NO,0
Karneval hat #Merkel  jetzt anscheinend auch versaut. Frauen fühlen sich unsicher. #Weiberfastnacht  #rapefugees,YES,NO,1
#Cameron #bringt #viel mit nach #Großbritannien und #Merkel? Nichts #außer #Asylanten #Chaos #Regierung,NO,NO,0
#spd fordert auch Unterstützung für arme Deutsche und nicht nur für #asylanten. Abgelehnt! das ist die #cdu von heute.,NO,NO,0
"#Köln   Wieder SEXUELLE ÜBERGRIFFE  in Köln.:  #Asylanten attakieren in Schwimmbad jugendliche Mädchen und bekommen daraufhin """"Hausverbot""""",NO,NO,0
Die #Steuererhöhungen wegen der #Fachkräfte kommen erst nach der #Bundestagswahl. #WirSchaffenDas #Merkel #Integration #Rapefugees #SPD #CDU,NO,NO,0
"Religion ist doof, aber wir haben Doofheitsfreiheit, wo ist das Problem mit der #Islamisierung #KatholischeMissionare #gnargh",NO,NO,0
"Gegner von #Asylanten mit #Nazis gleichzusetzen, ist einfach falsch! Das verharmlost doch nur das NS-Regime!#clausnitz #Bautzen #Deutschland",NO,NO,0
Räumung in Calais! Super! #refugeesnotwelcome,NO,NO,0
#Leyen erklärt:#Deutschland wird #Fluechtlinge / #Asylanten zu Soldaten ausbilden um die Situation in #Syrien nach dem #Krieg zu sichern,NO,NO,0
"Nichtwähler. Macht Briefwahl, ist einfach und schnell .. #krimigranten #rapefugees #stegner #Augstein #simonepeter #Gabriel #Roth #künast",NO,NO,0
"Bei allem,was """"Rechte"""" ausfressen ist die #AfD schuldSind #Groko u #Grüne dann net auch für die Verbrechen ihrer #Asylanten verantwortlich?",NO,NO,0
"Dank #merkel: mehr #asylanten, mehr Türken, mehr Ausgaben, Türkei kommt in EU. wir verlieren nur noch mit merkel. #cdu abwahl!",NO,NO,0
"Was wurde eigentlich aus der Geschichte mit den """"syrischen Ärzten""""? Die #Rapefugees sind ja wohl wahrlich keine Gynäkologen.",YES,YES,1
Der deutsche wurde 70 Jahre lang dazu erzogen den Mund zu halten! Schluss damit!#refugeesnotwelcome #Wir sind das Volk #AfD #merkelmussweg,NO,NO,0
Pseudo #Sturmwarnung in #NRW zum Schutz deutscher Frauen vor  #rapefugees um #Jäger  den Arsch zu retten?  #Düsseldorf  #Karneval,NO,NO,0
#morgenmagazin läßt #asylanten auf berlinale israelfeindlichen Film anschauen und die finden das toll! einer davon lernt schreiben mit 10.,NO,NO,0
Betreuung für alle - Der Rechtsanspruch auf einen #Kitaplatz gilt auch für #Flüchtlingskinder #Fluechtlingskrise #asylanten #fluechtlinge,NO,NO,0
"#hayali will #asylanten nach spanien abschieben, wo über 00% arbeitslose sind und eine riesige verschuldung! mein tipp: Grenzen sichern!",NO,NO,0
"Warum spenden #Grüne, #cdu und #spd nicht ihr Einkommen für #asylanten? weil sich das Geld anderer Menschen leichter ausgeben läßt!",NO,NO,0
#Schönborn ist eine Schande! Er huldigt Invasoren welche uns Christen erbarmungslos ermorden wollen! #rapefugees #Christen #Kirche #fpoe,NO,YES,1
Wir brauchen einen Aufstand der Anständigen in Deutschland. #Abmerkeln #Abschieben #Grenzkontrollen #Islamisierung stoppen,YES,NO,1
"Ich ziehe #Revolution dem #Krieg vor, zumindest nehmen an der Revolution nur die teil, die wollen. (Marcel Proust) #wehrdich #ia #stehauf",NO,NO,0
"#srfarena #SVP Logik: #Minarette in der #Schweiz sind gefährlich, #Waffen für den #Scharia-Staat #Saudi-Arabien unbedenklich.",NO,NO,0
"Diese Regierung schützt uns vor angeblichen Sturm beim Rosenmontagszug, aber nicht vor #gang-rape #rapefugees #abmerkeln #Fluechtlingskrise",NO,YES,1
Die anfängl.Motivation der #Asylanten sich zu #Integrieren und Beruf zu lernen wird bald nachlassen!Wenn sie die hohen Anforderungen kennen.,YES,NO,1
Warum sollten weibliche #Eindringlinge eigentlich in Ordnung sein? Irgendjemand muss die Brut doch aufgezogen haben. #rapefugees,YES,NO,0
Verhaftungen von Vergewaltigern als Erfolg zu verkaufen ist das Aufmerksamkeitswinseln einer armseligen Behörde. #Polizei #Köln #Rapefugees,YES,YES,1
"Mit jedem Tag,an dem Anhänger des #Islam nach Deutschland strömen,ist eine weitere Etappe der #Islamisierung erfolgt!#IslamIsTheProblem #afd",NO,NO,0
"herrlich #deutsche #medien berichten, der #hamburger #karnevalumzug wurde nicht wegem sturm abgesagt, sondern wegen den #Rapefugees",YES,NO,0
0000 Straftaten gegen #Asylanten 0001 in Deutschland.0000 Straftaten von #Asylanten in einer Nacht in #Koeln.,NO,NO,1
